HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
310100,Animal or vegetable fertilizers,2721,"Animal/vegetable fertilizers, whether/not mixed together/chemically treated; fertilizers produced by the mixing/chemical treatment of animal/vegetable products"
310210,Urea,56216,"Urea, whether/not in aqueous solution"
310221,Ammonium sulphate,56213,Ammonium sulphate
310229,Double salts and mixtures of ammonium sulphate,56212,Double salts & mixtures of ammonium sulphate & ammonium nitrate
310230,Ammonium nitrate,56211,"Ammonium nitrate, whether/not in aqueous solution"
310240,Mixtures of ammonium nitrate with inorganic non,56219,"Other nitrogenous fertilizers (including mixtures, n.e.s.)"
310250,Sodium nitrate,2722,Sodium nitrate
310260,Double salts and mixtures of calcium nitrate an,56214,Double salts & mixtures of calcium nitrate & ammonium nitrate
310270,Calcium cyanamide,56219,"Other nitrogenous fertilizers (including mixtures, n.e.s.)"
310280,Mixtures of urea and ammonium nitrate in aqueou,56217,Mixtures of urea & ammonium nitrate in aqueous/ammoniacal solution
310290,"Mineral or chemical fertilizers, nitrogenous ,",56219,"Other nitrogenous fertilizers (including mixtures, n.e.s.)"
310310,Superphosphates,56222,Superphosphates
310320,Basic slag,56229,"Mineral/chemical fertilizers, phosphatic, n.e.s."
310390,"Mineral or chemical fertilizers, phosphatic, ne",56229,"Mineral/chemical fertilizers, phosphatic, n.e.s."
310410,"Carnallite, sylvite and other Crude natural pot",56239,"Mineral/chemical fertilizers, potassic, n.e.s."
310420,Potassium chloride,56231,Potassium chloride
310430,Potassium sulphate,56232,Potassium sulphate
310490,"Mineral or chemical fertilizers, potassic, nes",56239,"Mineral/chemical fertilizers, potassic, n.e.s."
310510,Fertilizers... in packages of a gross weight =<,56296,"Goods of heading 272.1, 272.2,/of group 562, in tablets/similar forms/in packages of a gross weight not > 10 kg"
310520,"Mineral or chemical fertilizers with nitrogen,",56291,"Fertilizers, mineral/chemical, n.e.s., containing the three fertilizing elements nitrogen, phosphorus & potassium."
310530,Diammonium hydrogenorthophosphate (diammonium p,56293,Diammonium hydrogenorthophosphate (diammonium phosphate)
310540,Ammonium dihydrogenorthophosphate (monoammonium,56294,Ammonium dihydrogenorthophosphate (monoammonium phosphate) & mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate).
310551,Mineral or chemical fertilizers containing nitr,56295,"Fertilizers, n.e.s., containing the two fertilizing elements nitrogen & phosphorus"
310559,Mineral or chemical fertilizers with nitrogen a,56295,"Fertilizers, n.e.s., containing the two fertilizing elements nitrogen & phosphorus"
310560,Mineral or chemical fertilizers with phosphorus,56292,Mineral/chemical fertilizers containing the two fertilizing elements phosphorus & potassium.
310590,"Other fertilizers, nes",56299,Other fertilizers
320110,Quebracho extract,53221,"Tanning extracts of vegetable origin; tannins & their salts, ethers, esters & other derivatives"
320120,Wattle extract,53221,"Tanning extracts of vegetable origin; tannins & their salts, ethers, esters & other derivatives"
320130,Oak or chestnut extract,53221,"Tanning extracts of vegetable origin; tannins & their salts, ethers, esters & other derivatives"
