HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
841710,"Furnaces and ovens for the roasting, melting or other heattreatment of ores, pyrites or of metals",74136,"Furnaces & ovens for the roasting, melting/other heat-treatment of ores, pyrites/of metals, non-electric."
841720,"Bakery ovens, including biscuit ovens",74137,"Bakery ovens (including biscuit ovens), non-electric"
841780,Other,74138,Other non-electric furnaces & ovens (including incinerators)
841790,Parts,74139,Parts for the furnaces & ovens of headings 741.36 through 741.38
841810,"Combined refrigeratorfreezers, fitted with separate external doors",77521,"Refrigerators, household-type (electric/other), whether/not containing a deep-freeze compartment"
841821,Compressiontype,77521,"Refrigerators, household-type (electric/other), whether/not containing a deep-freeze compartment"
841822,"Absorptiontype, electrical",77521,"Refrigerators, household-type (electric/other), whether/not containing a deep-freeze compartment"
841829,Other,77521,"Refrigerators, household-type (electric/other), whether/not containing a deep-freeze compartment"
841830,"Freezers of the chest type, not exceeding 800 l capacity",77522,"Deep-freezes, household-type (electric/other)"
841840,"Freezers of the upright type, not exceeding 900 l capacity",77522,"Deep-freezes, household-type (electric/other)"
841850,"Other refrigerating or freezing chests, cabinets, display counters, showcases and similar refrigerating or freezing furniture",74143,"Refrigerating/freezing chests (other than household-type), cabinets, display counters, showcases & similar refrigerating/freezing furniture"
841861,Compression type units whose condensers are heat exchangers,74145,Other refrigerating/freezing equipment; heat pumps
841869,Other,74145,Other refrigerating/freezing equipment; heat pumps
841891,Furniture designed to receive refrigerating or freezing equipment,74149,"Parts of refrigerators, freezers & other refrigerating/freezing equipment (electric/other)"
841899,Other,74149,"Parts of refrigerators, freezers & other refrigerating/freezing equipment (electric/other)"
841911,Instantaneous gas water heaters,74181,Instantaneous gas water-heaters
841919,Other,74182,"Other instantaneous/storage water-heaters, non-electric"
841920,"Medical, surgical or laboratory sterilisers",74183,"Medical, surgical/laboratory sterilizers"
841931,For agricultural products,74184,Driers for agricultural products
841932,"For wood, paper pulp, paper or paperboard",74185,"Driers for wood, paper pulp, paper/paperboard"
