HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
400220,Butadiene rubber (BR),23212,Synthetic rubber br
400231,Isobutene-isoprene (butyl) rubber (IIR),23213,Synthetic rubber iir
400239,Other,23213,Synthetic rubber iir
400241,Latex,23214,Synthetic rubbr ciir/biir
400249,Other,23214,Synthetic rubbr ciir/biir
400251,Latex,23215,Synthetic rubber nbr
400259,Other,23215,Synthetic rubber nbr
400260,Isoprene rubber (IR),23216,Synthetic rubber ir
400270,Ethylenepropylenenonconjugated diene rubber (EPDM),23217,Synthetic rubber epdm
400280,Mixtures of any product of heading 40.01 with any product of this heading,23218,Nat/synth rubber mixture
400291,Latex,23219,Synthetic rubber nes
400299,Other,23219,Synthetic rubber nes
400300,"Reclaimed rubber in primary forms or in plates, sheets or strip.",23221,Reclaimed rubber-primary
400400,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.",23222,Scrap unhardened rubber
400510,Compounded with carbon black or silica,62111,Rubber comp c-black/sil.
400520,Solutions; dispersions other than those of subheading 4005.10,62112,Compounded rubber solutn
400591,"Plates, sheets and strip",62119,Rubber material nes
400599,Other,62119,Rubber material nes
400610,Camelback strips for retreading rubber tyres,62121,Camel-back retread strip
400690,Other,62129,Rubber profiles nes
400700,Vulcanised rubber thread and cord.,62131,Vulc rubber thread/cord
400811,"Plates, sheets and strip",62132,Unhard vulc cell rubber
400819,Other,62132,Unhard vulc cell rubber
400821,"Plates, sheets and strip",62133,Unhard vulc rubber nes
400829,Other,62133,Unhard vulc rubber nes
400910,(-2001) Not reinforced or otherwise combined with other ma,62141,Uh rubber tube no fittng
400911,(2002-) Without fittings,62141,Uh rubber tube no fittng
400912,(2002-) With fittings,62145,Uh rubber tube + fitting
400920,"(-2001) Reinforced or otherwise combined only with metal, ",62142,Uh metal-reinf rubr tube
400921,(2002-) Without fittings,62142,Uh metal-reinf rubr tube
400922,(2002-) With fittings,62145,Uh rubber tube + fitting
400930,(-2001) Reinforced or otherwise combined only with textile,62143,Uh text-reinf rubbr tube
