HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
300432,"Medicaments of adrenal cortical hormones, for r",5417,Medicaments
300439,"Medicaments of other hormones, for retail sale,",5417,Medicaments
300440,Medicaments of alkaloids or derivatives thereof,5417,Medicaments
300450,Other medicaments of vitamins or other products,5417,Medicaments
300490,"Other medicaments of mixed or unmixed products,",5417,Medicaments
300510,"Adhesive dressings..., for medical... purposes",54191,"Bandages, etc. impregnated/coated with pharm.pro."
300590,"Wadding, gauze, etc with pharmaceutical substan",54191,"Bandages, etc. impregnated/coated with pharm.pro."
300610,Materials for surgical sutures; laminaria ; abs,54199,Other pharmaceutical goods
300620,Blood-grouping reagents,54199,Other pharmaceutical goods
300630,Opacifying preparations for X-ray examinations;,54199,Other pharmaceutical goods
300640,Dental cements and other dental fillings; bone,54199,Other pharmaceutical goods
300650,First-aid boxes and kits,54199,Other pharmaceutical goods
300660,Chemical contraceptive preparations based on ho,54199,Other pharmaceutical goods
310100,Animal or vegetable fertilizers,2711,Natural fertilizers of anim./veget. Origin
310210,Urea,5611,Nitrogenous fertilizers and materials n.e.s
310221,Ammonium sulphate,5611,Nitrogenous fertilizers and materials n.e.s
310229,Double salts and mixtures of ammonium sulphate,5611,Nitrogenous fertilizers and materials n.e.s
310230,Ammonium nitrate,5611,Nitrogenous fertilizers and materials n.e.s
310240,Mixtures of ammonium nitrate with inorganic non,5611,Nitrogenous fertilizers and materials n.e.s
310250,Sodium nitrate,2712,Natural sodium nitrate
310260,Double salts and mixtures of calcium nitrate an,5611,Nitrogenous fertilizers and materials n.e.s
310270,Calcium cyanamide,5611,Nitrogenous fertilizers and materials n.e.s
310280,Mixtures of urea and ammonium nitrate in aqueou,5611,Nitrogenous fertilizers and materials n.e.s
310290,"Mineral or chemical fertilizers, nitrogenous ,",5611,Nitrogenous fertilizers and materials n.e.s
310310,Superphosphates,56129,Other phosphatic fertilizers & fert. materials
310320,Basic slag,56121,"Fertilizer, basic slag  thomas slag"
310390,"Mineral or chemical fertilizers, phosphatic, ne",56129,Other phosphatic fertilizers & fert. materials
