BEA2012,NAICS2012_6d
233240,238170
233240,238190
233240,238210
233240,238220
233240,238290
233240,238310
233240,238320
233240,238330
233240,238340
233240,238350
233240,238390
233240,238910
233240,238990
2332C0,236115
2332C0,236116
2332C0,236117
2332C0,236118
2332C0,236210
2332C0,236220
2332C0,237110
2332C0,237120
2332C0,237130
2332C0,237210
2332C0,237310
2332C0,237990
2332C0,238110
2332C0,238120
2332C0,238130
2332C0,238140
2332C0,238150
2332C0,238160
2332C0,238170
2332C0,238190
2332C0,238210
2332C0,238220
2332C0,238290
2332C0,238310
2332C0,238320
2332C0,238330
2332C0,238340
2332C0,238350
2332C0,238390
2332C0,238910
2332C0,238990
233230,236115
233230,236116
233230,236117
233230,236118
233230,236210
233230,236220
233230,237110
233230,237120
233230,237130
233230,237210
233230,237310
233230,237990
233230,238110
233230,238120
233230,238130
233230,238140
233230,238150
233230,238160
233230,238170
233230,238190
233230,238210
233230,238220
233230,238290
233230,238310
233230,238320
233230,238330
233230,238340
233230,238350
233230,238390
233230,238910
233230,238990
2332D0,236115
2332D0,236116
2332D0,236117
2332D0,236118
2332D0,236210
2332D0,236220
2332D0,237110
2332D0,237120
2332D0,237130
2332D0,237210
2332D0,237310
2332D0,237990
2332D0,238110
2332D0,238120
2332D0,238130
2332D0,238140
2332D0,238150
2332D0,238160
2332D0,238170
2332D0,238190
2332D0,238210
2332D0,238220
2332D0,238290
2332D0,238310
2332D0,238320
2332D0,238330
2332D0,238340
2332D0,238350
2332D0,238390
2332D0,238910
2332D0,238990
233411,236115
233411,236116
233411,236117
233411,236118
233411,236210
233411,236220
233411,237110
233411,237120
233411,237130
233411,237210
233411,237310
233411,237990
233411,238110
233411,238120
233411,238130
233411,238140
233411,238150
233411,238160
233411,238170
233411,238190
233411,238210
233411,238220
233411,238290
233411,238310
233411,238320
233411,238330
233411,238340
233411,238350
233411,238390
233411,238910
233411,238990
233412,236115
233412,236116
233412,236117
233412,236118
233412,236210
233412,236220
233412,237110
233412,237120
233412,237130
233412,237210
233412,237310
233412,237990
233412,238110
233412,238120
233412,238130
233412,238140
233412,238150
233412,238160
233412,238170
233412,238190
233412,238210
233412,238220
233412,238290
233412,238310
233412,238320
233412,238330
233412,238340
233412,238350
233412,238390
233412,238910
233412,238990
2334A0,236115
2334A0,236116
2334A0,236117
2334A0,236118
2334A0,236210
2334A0,236220
2334A0,237110
2334A0,237120
2334A0,237130
2334A0,237210
2334A0,237310
2334A0,237990
2334A0,238110
2334A0,238120
2334A0,238130
2334A0,238140
2334A0,238150
2334A0,238160
2334A0,238170
2334A0,238190
2334A0,238210
2334A0,238220
2334A0,238290
2334A0,238310
2334A0,238320
2334A0,238330
2334A0,238340
2334A0,238350
2334A0,238390
2334A0,238910
2334A0,238990
230301,236115
230301,236116
230301,236117
230301,236118
230301,236210
230301,236220
230301,237110
230301,237120
230301,237130
230301,237210
230301,237310
230301,237990
230301,238110
230301,238120
230301,238130
230301,238140
230301,238150
230301,238160
230301,238170
230301,238190
230301,238210
230301,238220
230301,238290
230301,238310
230301,238320
230301,238330
230301,238340
230301,238350
230301,238390
230301,238910
230301,238990
230302,236115
230302,236116
230302,236117
230302,236118
230302,236210
230302,236220
230302,237110
230302,237120
230302,237130
230302,237210
230302,237310
230302,237990
230302,238110
230302,238120
230302,238130
230302,238140
230302,238150
230302,238160
230302,238170
230302,238190
230302,238210
230302,238220
230302,238290
230302,238310
230302,238320
230302,238330
230302,238340
230302,238350
230302,238390
230302,238910
230302,238990
321100,321113
321100,321114
321200,321211
321200,321212
321200,321213
321200,321214
321200,321219
321910,321911
321910,321912
321910,321918
3219A0,321920
3219A0,321991
3219A0,321992
3219A0,321999
327100,327110
327100,327120
327200,327211
327200,327212
327200,327213
327200,327215
327310,327310
327320,327320
327330,327331
327330,327332
327390,327390
327400,327410
327400,327420
327910,327910
327991,327991
327992,327992
327993,327993
327999,327999
331110,331110
331200,331210
331200,331221
331200,331222
331313,331313
331314,331314
33131B,331315
33131B,331318
331410,331410
331420,331420
331490,331491
331490,331492
331510,331511
331510,331512
331510,331513
331520,331511
331520,331512
331520,331513
33211A,332111
33211A,332112
33211A,332117
332114,332114
332119,332119
332200,332215
332200,332216
332310,332311
332310,332312
332310,332313
332320,332321
332320,332322
332320,332323
332410,332410
332420,332420
332430,332431
332430,332439
332500,332510
332600,332613
332600,332618
332710,332710
332720,332721
332720,332722
332800,332811
332800,332812
332800,332813
33291A,332911
33291A,332912
33291A,332919
332913,332913
332991,332991
33299A,332992
33299A,332993
33299A,332994
332996,332996
332999,332999
333111,333111
333112,333112
333120,333120
333130,333131
333130,333132
333242,333242
33329A,333241
33329A,333243
