HS 2017,BEC,Relationship
071030,112,n:1
071040,112,n:1
071080,112,n:1
071090,112,n:1
071120,122,n:1
071140,122,n:1
071151,122,n:1
071159,122,n:1
071190,122,n:1
071220,122,n:1
071231,122,n:1
071232,122,n:1
071233,122,n:1
071239,122,n:1
071290,122,n:1
071310,112,n:1
071320,112,n:1
071331,112,n:1
071332,112,n:1
071333,112,n:1
071334,112,n:1
071335,112,n:1
071339,112,n:1
071340,112,n:1
071350,112,n:1
071360,112,n:1
071390,112,n:1
071410,112,n:1
071420,112,n:1
071430,112,n:1
071440,112,n:1
071450,112,n:1
071490,112,n:1
080111,111,n:1
080112,111,n:1
080119,111,n:1
080121,112,n:1
080122,112,n:1
080131,112,n:1
080132,112,n:1
080211,112,n:1
080212,112,n:1
080221,112,n:1
080222,112,n:1
080231,112,n:1
080232,112,n:1
080241,112,n:1
080242,112,n:1
080251,112,n:1
080252,112,n:1
080261,112,n:1
080262,112,n:1
080270,112,n:1
080280,112,n:1
080290,112,n:1
080310,112,n:1
080390,112,n:1
080410,112,n:1
080420,112,n:1
080430,112,n:1
080440,112,n:1
080450,112,n:1
080510,112,n:1
080521,112,n:1
080522,112,n:1
080529,112,n:1
080540,112,n:1
080550,112,n:1
080590,112,n:1
080610,112,n:1
080620,112,n:1
080711,112,n:1
080719,112,n:1
080720,112,n:1
080810,112,n:1
080830,112,n:1
080840,112,n:1
080910,112,n:1
080921,112,n:1
080929,112,n:1
080930,112,n:1
080940,112,n:1
081010,112,n:1
081020,112,n:1
081030,112,n:1
081040,112,n:1
081050,112,n:1
081060,112,n:1
081070,112,n:1
081090,112,n:1
081110,112,n:1
081120,112,n:1
081190,112,n:1
081210,111,n:1
081290,111,n:1
081310,112,n:1
081320,112,n:1
081330,112,n:1
081340,112,n:1
081350,112,n:1
081400,111,n:1
090111,111,n:1
090112,111,n:1
090121,122,n:1
090122,122,n:1
090190,122,n:1
090210,112,n:1
090220,112,n:1
090230,112,n:1
090240,112,n:1
090300,112,n:1
090411,112,n:1
090412,112,n:1
090421,112,n:1
090422,112,n:1
090510,112,n:1
090520,112,n:1
090611,112,n:1
090619,112,n:1
090620,112,n:1
090710,112,n:1
090720,112,n:1
090811,112,n:1
090812,112,n:1
090821,112,n:1
090822,112,n:1
090831,112,n:1
