HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus",87203,"Mechano-therapy appliances,massage app.etc."
902000,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters.",87203,"Mechano-therapy appliances,massage app.etc."
902110,(2002-) Orthopaedic or fracture appliances,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902111,(-2001) Artificial joints and other orthopaedic or fractur,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902119,(-2001) Artificial joints and other orthopaedic or fractur,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902121,Artificial teeth,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902129,Other,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902130,(-2001) Other artificial parts of the body,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902131,(2002-) Artificial joints,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902139,(2002-) Other,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902140,"Hearing aids, excluding parts and accessories",89961,Hearing aids
902150,"Pacemakers for stimulating heart muscles, excluding parts and accessories",89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902190,Other,89962,"Orthopaedic appl.,surgical belts,art. teeth,etc"
902211,(-1995) Apparatus based on the use of X-rays for m,7742,App.based on the use of x-rays or of radiations
902212,(1996-) Computed tomography apparatus,7742,App.based on the use of x-rays or of radiations
902213,"(1996-) Other, for dental uses",7742,App.based on the use of x-rays or of radiations
902214,"(1996-) Other, for medical, surgical or veterinary uses",7742,App.based on the use of x-rays or of radiations
902219,For other uses,7742,App.based on the use of x-rays or of radiations
902221,"For medical, surgical, dental or veterinary uses",7742,App.based on the use of x-rays or of radiations
902229,For other uses,7742,App.based on the use of x-rays or of radiations
902230,Xray tubes,7742,App.based on the use of x-rays or of radiations
902290,"Other, including parts and accessories",7742,App.based on the use of x-rays or of radiations
902300,"Instruments, apparatus and models, designed for demonstrational purposes (for example, in education or exhibitions), unsuitable for other uses.",87452,"Instruments,app.or models for demomstr. purposes"
902410,Machines and appliances for testing metals,87453,"Mach.& app.for testing hardness,strength of mat."
902480,Other machines and appliances,87453,"Mach.& app.for testing hardness,strength of mat."
902490,Parts and accessories,8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748"
902511,"Liquid-filled, for direct reading",87454,Hydrometers and similar instruments
902519,Other,87454,Hydrometers and similar instruments
902520,"(-1995) Barometers, not combined with other instru",87454,Hydrometers and similar instruments
902580,Other instruments,87454,Hydrometers and similar instruments
902590,Parts and accessories,8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748"
902610,For measuring or checking the flow or level of liquids,8743,"Instr.non electrical,for measuring,checking flow"
902620,For measuring or checking pressure,8743,"Instr.non electrical,for measuring,checking flow"
902680,Other instruments or apparatus,87489,Other electrical measuring instruments and app.
902690,Parts and accessories,8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748"
902710,Gas or smoke analysis apparatus,87483,Other electronic measuring instr.& apparatus
902720,Chromatographs and electrophoresis instruments,87483,Other electronic measuring instr.& apparatus
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations (UV, visible, IR)",87483,Other electronic measuring instr.& apparatus
902740,(-2006) Exposure meters,87483,Other electronic measuring instr.& apparatus
902750,"Other instruments and apparatus using optical radiations (UV, visible, IR)",87483,Other electronic measuring instr.& apparatus
902780,Other instruments and apparatus,87483,Other electronic measuring instr.& apparatus
