HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
040690,"Cheese, nes",1520,Manufacture of dairy products
040700,"Birds' eggs, in shell, fresh, preserved or cook",0122,Other animal farming; production of animal products n.e.c.
040811,Dried egg yolks,1549,Manufacture of other food products n.e.c.
040819,Egg yolks (excl. dried),1549,Manufacture of other food products n.e.c.
040891,"Dried birds' eggs, not in shell",1549,Manufacture of other food products n.e.c.
040899,"Birds' eggs, not in shell (excl. dried)",1549,Manufacture of other food products n.e.c.
040900,Natural honey,0122,Other animal farming; production of animal products n.e.c.
041000,"Edible products of animal origin, nes",0122,Other animal farming; production of animal products n.e.c.
050100,"Human hair and waste, unworked",9302,Hairdressing and other beauty treatment
050210,"Pigs', hogs', or boars' bristles or hair",9999,Goods not elsewhere classified
050290,Badger and other brush making hair,9999,Goods not elsewhere classified
050300,Horsehair and waste,0122,Other animal farming; production of animal products n.e.c.
050400,"Guts, bladders and stomachs of animals (excl. f",9999,Goods not elsewhere classified
050510,Raw feathers for stuffing; down,9999,Goods not elsewhere classified
050590,Skins and parts of birds (excl. feathers for st,9999,Goods not elsewhere classified
050610,Ossein and bones treated with acid,9999,Goods not elsewhere classified
050690,Bones and horn-cores (excl. ossein...),9999,Goods not elsewhere classified
050710,"Ivory, its powder and waste, unworked",9999,Goods not elsewhere classified
050790,"Tortoise-shell, whalebone and whalebone-hair, e",9999,Goods not elsewhere classified
050800,"Coral; shells of molluscs, crustaceans, unworke",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
050900,Natural sponges of animal origin,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
051000,"Ambergris, castoreum, civet and musk; cantharid",9999,Goods not elsewhere classified
051110,Bovine semen,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
051191,"Products of fish, etc; dead animals of Chapter",1512,Processing and preserving of fish and fish products
051199,"Animal products, nes; dead animals of Chapter 1",9999,Goods not elsewhere classified
060110,"Dormant bulbs, tubers... rhizomes",0112,"Growing of vegetables, horticultural specialties and nursery products"
060120,"Bulbs, tubers... rhizomes in growth or flower;",0112,"Growing of vegetables, horticultural specialties and nursery products"
060210,Unrooted cuttings and slips,0112,"Growing of vegetables, horticultural specialties and nursery products"
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",0112,"Growing of vegetables, horticultural specialties and nursery products"
060230,Rhododendrons and azaleas,0112,"Growing of vegetables, horticultural specialties and nursery products"
060240,Roses,0112,"Growing of vegetables, horticultural specialties and nursery products"
060291,Mushroom spawn,0112,"Growing of vegetables, horticultural specialties and nursery products"
060299,"Other live plants, nes",0112,"Growing of vegetables, horticultural specialties and nursery products"
060310,Fresh cut flowers and buds,0112,"Growing of vegetables, horticultural specialties and nursery products"
060390,"Dried, dyed, bleached or otherwise prepared cut",0112,"Growing of vegetables, horticultural specialties and nursery products"
060410,"Moses and lichens for ornamental purposes, fres",0200,"Forestry, logging and related service activities"
060491,"Fresh parts of plants, without flowers or buds,",0200,"Forestry, logging and related service activities"
060499,"Parts of plants, without flowers or buds, for o",0200,"Forestry, logging and related service activities"
070110,Seed potatoes,0111,Growing of cereals and other crops n.e.c.
070190,"Other potatoes, fresh or chilled",0111,Growing of cereals and other crops n.e.c.
070200,"Tomatoes, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070310,"Onions and shallots, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070320,"Garlic, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070390,"Leeks and other alliaceous vegetables, nes",0112,"Growing of vegetables, horticultural specialties and nursery products"
070410,"Cauliflowers and headed broccoli, fresh or chil",0112,"Growing of vegetables, horticultural specialties and nursery products"
070420,"Brussels sprouts, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070490,"White and red cabbages, kohlrabi, kale...etc, f",0112,"Growing of vegetables, horticultural specialties and nursery products"
070511,"Cabbage lettuce, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070519,"Lettuce, fresh or chilled, (excl. cabbage lettu",0112,"Growing of vegetables, horticultural specialties and nursery products"
070521,"Witloof chicory, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070529,"Chicory, fresh or chilled, (excl. witloof)",0112,"Growing of vegetables, horticultural specialties and nursery products"
070610,"Carrots and turnips, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070690,Beetroot...radishes and other similar edible ro,0112,"Growing of vegetables, horticultural specialties and nursery products"
070700,"Cucumbers and gherkins, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070810,"Peas, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070820,"Beans, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070890,"Leguminous vegetables, fresh or chilled, nes",0112,"Growing of vegetables, horticultural specialties and nursery products"
070910,"Globe artichokes, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070920,"Asparagus, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070930,"Aubergines, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070940,"Celery, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070951,"Mushrooms, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070952,"Truffles, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070960,"Fruits of genus Capiscum or Pimenta, fresh or c",0112,"Growing of vegetables, horticultural specialties and nursery products"
070970,"Spinach, fresh or chilled",0112,"Growing of vegetables, horticultural specialties and nursery products"
070990,"Other vegetables, fresh or chilled, nes",0112,"Growing of vegetables, horticultural specialties and nursery products"
071010,"Potatoes, frozen",1513,Processing and preserving of fruit and vegetables
071021,"Shelled or unshelled peas, frozen",1513,Processing and preserving of fruit and vegetables
