HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
030541,"Smoked fish, including fillets :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Altantic salmon (Salmo s",1301,Ocean and coastal fishing
030542,"Smoked fish, including fillets :-- Herrings (Clupea harengus, Clupea pallasii)",1301,Ocean and coastal fishing
030549,"Smoked fish, including fillets :-- Other",1301,Ocean and coastal fishing
030551,"Dried fish, whether or not salted but not smoked :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",1301,Ocean and coastal fishing
030559,"Dried fish, whether or not salted but not smoked :-- Other",1301,Ocean and coastal fishing
030561,"Fish, salted but not dried or smoked and fish in brine :-- Herrings (Clupea harengus, Clupea pallasii)",1301,Ocean and coastal fishing
030562,"Fish, salted but not dried or smoked and fish in brine :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",1301,Ocean and coastal fishing
030563,"Fish, salted but not dried or smoked and fish in brine :-- Anchovies (Engraulis spp.)",1301,Ocean and coastal fishing
030569,"Fish, salted but not dried or smoked and fish in brine :-- Other",1301,Ocean and coastal fishing
030611,"Frozen :-- Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",1301,Ocean and coastal fishing
030612,Frozen :-- Lobsters (Homarus spp.),1301,Ocean and coastal fishing
030613,Frozen :-- Shrimps and prawns,1301,Ocean and coastal fishing
030614,Frozen :-- Crabs,1301,Ocean and coastal fishing
030619,"Frozen :-- Other, including flours, meals and pellets of crustaceans, fit for human consumption",1301,Ocean and coastal fishing
030621,"Not frozen :-- Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",1301,Ocean and coastal fishing
030622,Not frozen :-- Lobsters (Homarus spp.),1301,Ocean and coastal fishing
030623,Not frozen :-- Shrimps and prawns,1301,Ocean and coastal fishing
030624,Not frozen :-- Crabs,1301,Ocean and coastal fishing
030629,"Not frozen :-- Other, including flours, meals and pellets of crustaceans, fit for human consumption",1301,Ocean and coastal fishing
030710,Oysters,1301,Ocean and coastal fishing
030721,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten :-- Live, fresh or chilled",1301,Ocean and coastal fishing
030729,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten :-- Other",1301,Ocean and coastal fishing
030731,"Mussels (Mytilus spp., Perna spp.) :-- Live, fresh or chilled",1301,Ocean and coastal fishing
030739,"Mussels (Mytilus spp., Perna spp.) :-- Other",1301,Ocean and coastal fishing
030741,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) and squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.) :-- Live, fresh or chilled",1301,Ocean and coastal fishing
030749,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) and squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.) :-- Other",1301,Ocean and coastal fishing
030751,"Octopus (Octopus spp.) :-- Live, fresh or chilled",1301,Ocean and coastal fishing
030759,Octopus (Octopus spp.) :-- Other,1301,Ocean and coastal fishing
030760,"Snails, other than sea snails",3111,"Slaughtering, preparing and preserving meat"
030791,"Other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption :-- Live, fresh or chilled",1301,Ocean and coastal fishing
030799,"Other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption :-- Other",1301,Ocean and coastal fishing
040110,"Of a fat content, by weight, not exceeding 1 %",3112,Manufacture of dairy products
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",3112,Manufacture of dairy products
040130,"Of a fat content, by weight, exceeding 6 %",3112,Manufacture of dairy products
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",3112,Manufacture of dairy products
040221,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Not containing added sugar or other sweetening matter",3112,Manufacture of dairy products
040229,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Other",3112,Manufacture of dairy products
040291,Other :-- Not containing added sugar or other sweetening matter,3112,Manufacture of dairy products
040299,Other,3112,Manufacture of dairy products
040310,Yogurt,3112,Manufacture of dairy products
040390,Other,3112,Manufacture of dairy products
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",3112,Manufacture of dairy products
040490,Other,3112,Manufacture of dairy products
040510,Butter,3112,Manufacture of dairy products
040520,Dairy spreads,3112,Manufacture of dairy products
040590,Other,3112,Manufacture of dairy products
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",3112,Manufacture of dairy products
040620,"Grated or powdered cheese, of all kinds",3112,Manufacture of dairy products
040630,"Processed cheese, not grated or powdered",3112,Manufacture of dairy products
040640,Blue-veined cheese,3112,Manufacture of dairy products
040690,Other cheese,3112,Manufacture of dairy products
040700,"Birds' eggs, in shell, fresh, preserved or cooked.",1110,Agricultural and livestock production
040811,"Egg yolks :- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Dried",3112,Manufacture of dairy products
040819,"Egg yolks :- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Other",3112,Manufacture of dairy products
040891,Other :-- Dried,3112,Manufacture of dairy products
040899,Other,3112,Manufacture of dairy products
040900,Natural honey.,1110,Agricultural and livestock production
041000,"Edible products of animal origin, not elsewhere specified or included.",1110,Agricultural and livestock production
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",9999,Goods not elsewhere classified
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",3111,"Slaughtering, preparing and preserving meat"
050290,Other,3111,"Slaughtering, preparing and preserving meat"
050300,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",3211,"Spinning, weawing and finishing textiles"
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",3111,"Slaughtering, preparing and preserving meat"
050510,Feathers of a kind used for stuffing; down,1110,Agricultural and livestock production
050590,Other,1110,Agricultural and livestock production
050610,Ossein and bones treated with acid,3111,"Slaughtering, preparing and preserving meat"
050690,Other,3111,"Slaughtering, preparing and preserving meat"
050710,Ivory; ivory powder and waste,3111,"Slaughtering, preparing and preserving meat"
050790,Other,3111,"Slaughtering, preparing and preserving meat"
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste there",1302,Fishing not elsewhere classified
050900,Natural sponges of animal origin.,1301,Ocean and coastal fishing
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",1130,"Hunting, trapping and game propagation"
051110,Bovine semen,3111,"Slaughtering, preparing and preserving meat"
051191,"Other :- Egg yolks :-- Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",3114,"Canning, preserving and processing of fish, crustacea and similar foods"
051199,Other,3111,"Slaughtering, preparing and preserving meat"
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",1110,Agricultural and livestock production
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",1110,Agricultural and livestock production
060210,Unrooted cuttings and slips,1110,Agricultural and livestock production
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",1110,Agricultural and livestock production
060230,"Rhododendrons and azaleas, grafted or not",1110,Agricultural and livestock production
060240,"Roses, grafted or not",1110,Agricultural and livestock production
060290,Other,1110,Agricultural and livestock production
060310,Fresh,1110,Agricultural and livestock production
060390,Other,1110,Agricultural and livestock production
060410,Mosses and lichens,1110,Agricultural and livestock production
060491,Other :- Egg yolks :-- Fresh,1110,Agricultural and livestock production
060499,Other,1110,Agricultural and livestock production
070110,Seed,1110,Agricultural and livestock production
070190,Other,1110,Agricultural and livestock production
070200,"Tomatoes, fresh or chilled.",1110,Agricultural and livestock production
070310,Onions and shallots,1110,Agricultural and livestock production
070320,Garlic,1110,Agricultural and livestock production
070390,Leeks and other alliaceous vegetables,1110,Agricultural and livestock production
070410,Cauliflowers and headed broccoli,1110,Agricultural and livestock production
070420,Brussels sprouts,1110,Agricultural and livestock production
070490,Other,1110,Agricultural and livestock production
070511,Lettuce :-- Cabbage lettuce (head lettuce),1110,Agricultural and livestock production
070519,Lettuce :-- Other,1110,Agricultural and livestock production
070521,Chicory :-- Witloof chicory (Cichorium intybus var.foliosum),1110,Agricultural and livestock production
070529,Chicory :-- Other,1110,Agricultural and livestock production
070610,Carrots and turnips,1110,Agricultural and livestock production
070690,Other,1110,Agricultural and livestock production
070700,"Cucumbers and gherkins, fresh or chilled.",1110,Agricultural and livestock production
070810,Peas (Pisum sativum),1110,Agricultural and livestock production
070820,"Beans (Vigna spp., Phaseolus spp.)",1110,Agricultural and livestock production
070890,Other leguminous vegetables,1110,Agricultural and livestock production
070910,Globe artichokes,1110,Agricultural and livestock production
070920,Asparagus,1110,Agricultural and livestock production
070930,Aubergines (egg-plants),1110,Agricultural and livestock production
070940,Celery other than celeriac,1110,Agricultural and livestock production
070951,Mushrooms and truffles :-- Mushrooms,1110,Agricultural and livestock production
070952,Mushrooms and truffles :-- Truffles,1110,Agricultural and livestock production
070960,Fruits of the genus Capsicum or of the genus Pimenta,1110,Agricultural and livestock production
070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",1110,Agricultural and livestock production
070990,Other,1110,Agricultural and livestock production
071010,Potatoes,3113,Canning and preserving of fruits and vegetables
071021,"Leguminous vegetables, shelled or unshelled :-- Peas (Pisum sativum)",3113,Canning and preserving of fruits and vegetables
071022,"Leguminous vegetables, shelled or unshelled :-- Beans (Vigna spp., Phaseolus spp.)",3113,Canning and preserving of fruits and vegetables
071029,"Leguminous vegetables, shelled or unshelled :-- Other",3113,Canning and preserving of fruits and vegetables
